scene_idx,n_present,no_interpenetration,stable_rest,ik_reachable,rrt_solvable,accepted,min_signed_distance_m,max_pose_drift_trans_m,max_pose_drift_rot_rad,rrt_seed,elapsed_s,error
356,6,1,1,1,0,0,0.141074,0.000021,0.000845,356,5.3960,
357,7,1,1,1,0,0,0.014397,0.003629,0.000313,357,5.3725,
358,2,1,1,1,1,1,0.717117,0.000018,0.000288,358,0.2350,
359,6,1,1,1,1,1,0.146279,0.000013,0.001268,359,0.3972,
360,8,1,1,0,0,0,0.045624,0.003629,0.000203,360,0.4207,
361,5,1,1,1,0,0,0.075796,0.003629,0.000433,361,5.3362,
362,3,1,1,0,0,0,0.162774,0.000021,0.000236,362,0.2391,
363,2,1,1,1,1,1,0.466890,0.003629,0.000163,363,0.2188,
364,7,1,1,0,0,0,0.063750,0.000021,0.000236,364,0.3589,
365,8,1,1,1,1,1,0.007361,0.003629,0.000523,365,0.4384,
366,7,1,1,1,0,0,0.076867,0.003629,0.000630,366,5.4051,
367,7,1,1,1,1,1,0.017298,0.003629,0.000236,367,0.3727,
368,1,1,1,1,1,1,inf,0.003629,0.000163,368,0.1827,
369,4,1,1,1,0,0,0.198852,0.003629,0.000236,369,5.2829,
370,6,1,1,1,1,1,0.112906,0.003629,0.000163,370,0.3922,
371,3,1,1,1,1,1,0.188023,0.000012,0.000224,371,0.2726,
372,6,1,1,0,0,0,0.101886,0.000015,0.000111,372,0.3526,
373,8,0,0,0,0,0,-0.001113,,,373,0.0094,
374,5,1,1,0,0,0,0.107990,0.000013,0.000092,374,0.3912,
375,3,1,1,1,0,0,0.134293,0.003629,0.000199,375,5.2359,
376,7,1,1,1,0,0,0.036249,0.000010,0.000045,376,5.3441,
377,2,1,1,1,1,1,0.497197,0.000010,0.000017,377,0.2374,
378,4,1,1,1,1,1,0.303067,0.000021,0.000236,378,0.2886,
379,4,1,1,1,0,0,0.129026,0.000011,0.000287,379,5.2634,
380,6,0,0,0,0,0,-0.015132,,,380,0.0065,
381,3,1,1,1,1,1,0.125901,0.000021,0.000365,381,0.2886,
382,6,1,1,1,0,0,0.031424,0.003629,0.001010,382,5.3781,
383,2,1,1,1,1,1,0.362060,0.000010,0.000099,383,0.2531,
384,5,1,1,1,0,0,0.081301,0.000021,0.000236,384,5.3366,
385,1,1,1,1,0,0,inf,0.000011,0.000006,385,5.1715,
386,3,1,1,1,1,1,0.380879,0.000011,0.001010,386,0.3436,
387,5,1,1,1,0,0,0.238953,0.003629,0.000163,387,5.4921,
388,1,1,1,1,0,0,inf,0.000021,0.000236,388,5.2497,
389,6,1,1,1,0,0,0.021665,0.000021,0.000236,389,5.4584,
390,2,1,1,1,0,0,0.328207,0.000010,0.000017,390,5.2278,
391,6,0,0,0,0,0,-0.025106,,,391,0.0095,
392,7,1,1,1,1,1,0.036553,0.003629,0.000909,392,0.6038,
393,2,1,1,1,0,0,0.584902,0.000012,0.000671,393,5.2459,
394,3,1,1,0,0,0,0.338906,0.000011,0.000180,394,0.2514,
395,6,1,1,1,0,0,0.039686,0.003629,0.000302,395,5.3528,
396,8,1,1,1,1,1,0.037464,0.000021,0.000236,396,0.4249,
397,3,0,0,0,0,0,-0.013923,,,397,0.0040,
398,4,1,1,1,0,0,0.024346,0.003629,0.000236,398,5.2948,
399,8,1,1,1,0,0,0.028227,0.000021,0.000309,399,5.4463,
400,7,1,1,1,1,1,0.020668,0.003629,0.000664,400,0.4276,
401,4,1,1,1,1,1,0.014356,0.003629,0.000163,401,0.3315,
402,1,1,1,1,1,1,inf,0.000011,0.000006,402,0.2069,
403,6,1,1,1,1,1,0.052195,0.000012,0.000091,403,0.5357,
404,8,1,1,1,1,1,0.027744,0.003629,0.001429,404,0.5834,
405,4,1,1,1,0,0,0.023470,0.003629,0.000163,405,5.2960,
406,8,1,1,1,0,0,0.006182,0.000021,0.000236,406,5.4523,
407,6,1,1,1,0,0,0.087047,0.000021,0.000236,407,5.3799,
408,1,1,1,1,0,0,inf,0.000012,0.000050,408,5.1868,
409,1,1,1,1,0,0,inf,0.000010,0.000077,409,5.1801,
410,1,1,1,1,1,1,inf,0.003629,0.000163,410,0.2143,
411,2,1,1,1,1,1,0.266203,0.003629,0.000163,411,0.2266,
412,6,1,1,1,0,0,0.059715,0.000021,0.000332,412,5.3686,
413,1,1,1,0,0,0,inf,0.000012,0.000091,413,0.1708,
414,6,1,1,1,1,1,0.096020,0.000021,0.000236,414,0.3716,
