scene_idx,n_present,no_interpenetration,stable_rest,ik_reachable,rrt_solvable,accepted,min_signed_distance_m,max_pose_drift_trans_m,max_pose_drift_rot_rad,rrt_seed,elapsed_s,error
135,4,1,1,1,1,1,0.263352,0.000021,0.000236,135,0.3344,
136,3,1,1,1,0,0,0.448608,0.000010,0.000047,136,5.2379,
137,7,1,1,1,0,0,0.004776,0.003629,0.000236,137,5.3649,
138,7,1,1,1,1,1,0.017856,0.003629,0.000236,138,0.4214,
139,4,1,1,1,0,0,0.018186,0.003629,0.000236,139,5.2808,
140,7,1,1,1,1,1,0.091611,0.000021,0.000609,140,0.4108,
141,3,1,1,1,0,0,0.428572,0.003629,0.000276,141,5.2607,
142,4,1,1,1,0,0,0.036401,0.000021,0.000638,142,5.2938,
143,2,1,1,0,0,0,0.583220,0.000010,0.000045,143,0.5315,
144,7,1,1,1,1,1,0.077205,0.003629,0.000236,144,0.3918,
145,6,1,1,0,0,0,0.023938,0.000021,0.000341,145,0.5232,
146,3,1,1,1,1,1,0.068680,0.000013,0.000244,146,0.2640,
147,8,1,1,1,0,0,0.051761,0.003629,0.000418,147,5.4126,
148,5,1,1,1,0,0,0.033684,0.000021,0.000236,148,5.3274,
149,6,1,1,1,1,1,0.010509,0.003629,0.001010,149,0.4116,
150,8,1,1,1,0,0,0.081547,0.003629,0.000468,150,5.4355,
151,4,1,1,1,1,1,0.309405,0.000012,0.000123,151,0.3381,
152,6,1,1,1,1,1,0.266281,0.000021,0.000236,152,0.3698,
153,2,1,1,1,0,0,0.139755,0.003629,0.000236,153,5.2155,
154,3,1,1,1,0,0,0.122271,0.003629,0.000236,154,5.2463,
155,2,1,1,1,0,0,0.259687,0.000021,0.000236,155,5.2151,
156,6,1,1,1,0,0,0.092316,0.003629,0.000525,156,5.3724,
157,4,1,1,1,1,1,0.200415,0.000021,0.000236,157,0.3566,
158,1,1,1,1,0,0,inf,0.000011,0.000006,158,5.1810,
159,8,1,1,1,0,0,0.023880,0.003629,0.000392,159,5.4238,
160,3,1,1,1,0,0,0.291847,0.000021,0.000236,160,5.2462,
161,2,1,1,1,1,1,0.092439,0.000012,0.000215,161,0.3032,
162,2,1,1,1,0,0,0.243754,0.000010,0.000046,162,5.2183,
163,4,1,1,1,1,1,0.196654,0.000021,0.000236,163,0.3469,
164,8,0,0,0,0,0,-0.007822,,,164,0.0086,
165,7,1,1,1,1,1,0.002331,0.003629,0.001075,165,0.4260,
166,8,1,1,1,0,0,0.046491,0.000015,0.000112,166,5.4254,
167,6,1,1,1,0,0,0.092677,0.003629,0.000236,167,5.3663,
168,3,1,1,1,1,1,0.214189,0.000020,0.000292,168,0.2622,
169,1,1,1,1,1,1,inf,0.000011,0.000049,169,0.1923,
170,2,1,1,1,0,0,0.233144,0.000011,0.000157,170,5.2137,
171,5,1,1,1,0,0,0.018505,0.003629,0.000236,171,5.3345,
172,6,1,1,1,0,0,0.068417,0.000021,0.000236,172,5.3352,
173,2,1,1,1,0,0,0.340492,0.000012,0.001157,173,5.2260,
174,6,0,0,0,0,0,-0.024915,,,174,0.0064,
175,2,1,1,1,1,1,0.307365,0.003629,0.000163,175,0.2706,
176,1,1,1,1,0,0,inf,0.000010,0.000333,176,5.1966,
177,5,1,1,1,0,0,0.004302,0.000021,0.000236,177,5.3401,
178,3,0,0,0,0,0,-0.022584,,,178,0.0043,
179,5,1,1,1,1,1,0.164039,0.000011,0.000091,179,0.3391,
180,6,1,1,0,0,0,0.040759,0.003629,0.000236,180,0.3863,
181,2,1,1,1,0,0,0.265807,0.000012,0.001010,181,5.7968,
182,2,1,1,1,0,0,0.291940,0.000011,0.000091,182,5.2035,
183,5,1,1,1,1,1,0.092561,0.000021,0.000236,183,0.3193,
184,4,1,1,1,1,1,0.269814,0.000012,0.000923,184,0.3435,
185,6,0,0,0,0,0,-0.002167,,,185,0.0074,
186,3,1,1,1,0,0,0.471395,0.000013,0.000803,186,5.2741,
187,5,1,1,1,0,0,0.008679,0.003629,0.000236,187,5.3124,
188,8,1,1,0,0,0,0.104362,0.000011,0.000875,188,0.4073,
189,6,1,1,1,0,0,0.084625,0.003629,0.000236,189,5.3379,
190,4,1,1,1,0,0,0.283042,0.000012,0.000384,190,5.2923,
191,7,1,1,1,1,1,0.051561,0.003629,0.000236,191,0.3836,
192,2,1,1,1,1,1,0.887110,0.000021,0.000236,192,0.2344,
193,5,1,1,1,0,0,0.055179,0.000021,0.000719,193,5.3622,
194,4,1,1,1,0,0,0.337617,0.000021,0.000734,194,5.3062,
195,1,1,1,1,0,0,inf,0.000011,0.000135,195,5.1855,
196,8,1,1,1,0,0,0.068120,0.000021,0.000652,196,5.4347,
197,7,1,1,1,1,1,0.036747,0.003629,0.000163,197,0.4022,
198,4,1,1,1,0,0,0.016901,0.000013,0.000065,198,5.2665,
199,4,1,1,1,0,0,0.053723,0.000012,0.000293,199,5.2943,
200,1,1,1,0,0,0,inf,0.000021,0.000236,200,0.1760,
201,1,1,1,1,0,0,inf,0.000021,0.000236,201,5.1778,
202,7,1,1,1,0,0,0.056871,0.000021,0.000236,202,5.3983,
203,2,1,1,1,0,0,0.156908,0.000010,0.000017,203,5.2018,
204,3,1,1,1,1,1,0.613662,0.000016,0.000363,204,0.2752,
205,4,1,1,1,1,1,0.343670,0.003629,0.000236,205,0.3472,
206,7,1,1,0,0,0,0.050752,0.003629,0.000421,206,0.3795,
207,2,1,1,1,1,1,0.148792,0.003629,0.000163,207,0.2689,
208,7,0,0,0,0,0,-0.019948,,,208,0.0108,
209,6,1,1,1,1,1,0.184425,0.000021,0.000439,209,0.6408,
210,5,1,1,1,0,0,0.049139,0.003629,0.000163,210,5.4267,
211,4,1,1,1,0,0,0.270694,0.000021,0.000236,211,5.3588,
212,4,1,1,1,1,1,0.146438,0.000012,0.000091,212,0.3514,
213,1,1,1,1,0,0,inf,0.000010,0.000020,213,5.1825,
214,2,1,1,1,1,1,0.768375,0.000011,0.000091,214,0.2248,
215,7,1,1,0,0,0,0.057289,0.000021,0.000236,215,0.4011,
216,7,1,1,1,1,1,0.003443,0.003629,0.000236,216,0.4447,
217,7,1,1,1,0,0,0.030776,0.003629,0.000385,217,5.4272,
218,2,1,1,1,0,0,0.231977,0.000010,0.000045,218,5.2129,
219,4,1,1,1,1,1,0.096836,0.000013,0.000091,219,0.3158,
220,1,1,1,1,1,1,inf,0.000011,0.000091,220,0.1969,
221,2,1,1,1,0,0,0.103497,0.000021,0.000236,221,5.2180,
222,3,1,1,0,0,0,0.098799,0.003629,0.000163,222,0.2589,
223,8,1,1,1,1,1,0.079372,0.000021,0.000236,223,0.6248,
224,3,1,1,1,1,1,0.151367,0.003629,0.000163,224,0.3043,
225,6,1,1,1,0,0,0.066894,0.003629,0.000163,225,5.3918,
226,3,1,1,1,1,1,0.051057,0.000010,0.000045,226,0.2867,
227,5,1,1,1,0,0,0.020373,0.000021,0.000236,227,5.3217,
228,8,1,1,1,0,0,0.009961,0.000021,0.000236,228,5.4013,
229,4,0,0,0,0,0,-0.009150,,,229,0.0055,
230,6,1,1,1,1,1,0.141492,0.000014,0.000572,230,0.4258,
231,7,1,1,1,0,0,0.027293,0.000021,0.000642,231,0.3994,
232,8,1,1,0,0,0,0.026153,0.000014,0.000299,232,0.5723,
233,4,1,1,1,1,1,0.202135,0.000021,0.000511,233,0.3303,
234,3,1,1,1,0,0,0.152993,0.000011,0.000045,234,5.2460,
235,4,1,1,1,1,1,0.123338,0.003629,0.000163,235,0.2939,
236,7,1,1,1,1,1,0.012836,0.003629,0.000236,236,0.4584,
237,2,1,1,1,1,1,0.154697,0.003629,0.000381,237,0.2430,
238,4,1,1,1,0,0,0.340981,0.000021,0.000236,238,5.3718,
239,5,1,1,1,1,1,0.124347,0.003629,0.000483,239,0.4090,
240,5,1,1,1,0,0,0.069502,0.003629,0.000612,240,5.3315,
241,2,1,1,0,0,0,0.357343,0.003629,0.000163,241,0.2170,
242,7,1,1,1,1,1,0.085784,0.003629,0.000236,242,0.3807,
243,6,1,1,1,1,1,0.010773,0.003629,0.000236,243,0.3706,
244,1,1,1,1,1,1,inf,0.003629,0.000163,244,0.1850,
245,4,1,1,1,1,1,0.103011,0.000021,0.000236,245,0.2826,
246,8,1,1,1,1,1,0.047199,0.003629,0.000173,246,0.4485,
247,2,1,1,1,1,1,0.173491,0.000011,0.000314,247,0.2351,
248,6,1,1,1,1,1,0.097957,0.003629,0.000439,248,0.4577,
249,4,1,1,1,0,0,0.171051,0.000012,0.000193,249,5.2865,
250,2,1,1,0,0,0,0.384234,0.000012,0.000936,250,0.2160,
251,3,1,1,1,1,1,0.219319,0.000021,0.000236,251,0.3083,
252,4,1,1,0,0,0,0.208503,0.000010,0.000000,252,0.8005,
253,3,1,1,1,0,0,0.143354,0.003629,0.000163,253,5.2565,
254,5,1,1,0,0,0,0.121312,0.003629,0.000163,254,0.8046,
255,7,1,1,0,0,0,0.052017,0.000021,0.000450,255,0.4191,
256,4,1,1,1,0,0,0.119917,0.003629,0.000867,256,5.3056,
257,3,1,1,1,0,0,0.229335,0.003629,0.000163,257,5.2462,
258,8,1,1,1,1,1,0.039880,0.000021,0.000236,258,0.4390,
259,6,1,1,1,0,0,0.099775,0.000011,0.000091,259,5.3553,
260,6,1,1,1,1,1,0.049128,0.000015,0.000327,260,0.4060,
261,4,1,1,1,0,0,0.031381,0.000014,0.000101,261,5.2767,
262,8,1,1,1,0,0,0.153146,0.003629,0.000236,262,5.4358,
263,6,1,1,1,0,0,0.100731,0.003629,0.000187,263,5.3658,
264,1,1,1,1,1,1,inf,0.000011,0.000006,264,0.2428,
265,6,1,1,0,0,0,0.045454,0.000021,0.000236,265,0.3370,
266,7,1,1,1,1,1,0.076259,0.003629,0.000789,266,0.4560,
267,8,1,1,1,1,1,0.059811,0.003629,0.000403,267,0.5746,
268,4,1,1,1,0,0,0.203532,0.000021,0.000236,268,5.2912,
269,6,0,0,0,0,0,-0.012611,,,269,0.0067,
270,6,1,1,1,0,0,0.063753,0.003629,0.000229,270,5.3409,
271,1,1,1,1,1,1,inf,0.000011,0.000091,271,0.2168,
